"Sample name","Compound_on_Chip_","ID","group","value"
"HSC-44PE","Pazopanib","PGFRB_1014_1028","NR",-0.240822315
"MKN1","Pazopanib","SRC8_CHICK_470_482","NR",-0.160683751
"58As1","Pazopanib","FER_707_719","NR",-0.149511099
"MKN1","Pazopanib","RAF1_332_344","NR",0.041690987
"NCI-N87","Pazopanib","MBP_198_210","NR",-0.079672575
"HSC-45","Pazopanib","MBP_198_210","NR",-0.077441454
"HSC-43","Pazopanib","EPHA7_607_619","R",-0.551512361
"HSC-45","Pazopanib","41_654_666","NR",-0.496968031
"MKN7","Pazopanib","EPOR_419_431","NR",-0.515380621
"HSC-45","Pazopanib","MK12_178_190","NR",-0.153964996
"MKN74","Pazopanib","DDR1_506_518","NR",-0.023066759
"HSC-39","Pazopanib","VGFR2_1046_1058","R",0.127953053
"KATO III","Pazopanib","EPOR_361_373","R",-0.748845816
"58As1","Pazopanib","VINC_815_827","NR",-0.086001158
"NUGC-4","Pazopanib","ANXA2_17_29","NR",0.053358495
"HSC-45","Pazopanib","PECA1_706_718","NR",-0.847797394
"MKN7","Pazopanib","EPHB1_771_783","NR",-0.654964209
"NCI-N87","Pazopanib","ZAP70_485_497","NR",-0.323873043
"HSC-40A","Pazopanib","EGFR_1190_1202","R",-0.632100821
"HSC-40A","Pazopanib","DDR1_506_518","R",-0.17968905
"HSC-43","Pazopanib","FER_707_719","R",-0.410814047
"SNU-16","Pazopanib","ZBT16_621_633","R",-0.238070607
"OKAJIMA","Pazopanib","PRRX2_202_214","NR",-0.117963158
"MKN45","Pazopanib","ART_004_EAIYAAPFAKKKXC","NR",-0.098572575
"MKN7","Pazopanib","TEC_512_524","NR",-0.445706844
"OKAJIMA","Pazopanib","EGFR_1103_1115","NR",-0.101780891
"HSC-40A","Pazopanib","VGFR1_1162_1174","R",-0.142461121
"58As1","Pazopanib","NPT2A_501_513","NR",-0.014705181
"HSC-60","Pazopanib","EPOR_419_431","NR",-0.656356335
"IM95","Pazopanib","CALM_95_107","NR",-0.374392867
"MKN45","Pazopanib","JAK2_563_577","NR",-0.231762573
"58As1","Pazopanib","SRC8_CHICK_492_504","NR",-0.446586609
"OCUM-1","Pazopanib","41_654_666","NR",-0.347130418
"SNU-16","Pazopanib","VGFR1_1206_1218","R",0.041807771
"HSC-39","Pazopanib","FAK1_569_581","R",-0.295768142
"NUGC-3","Pazopanib","PGFRB_1014_1028","NR",-0.361027718
"MKN7","Pazopanib","PGFRB_771_783","NR",-0.326206923
"HSC-39","Pazopanib","CDK7_157_169","R",-0.292173862
"MKN45","Pazopanib","VINC_815_827","NR",0.160418987
"OCUM-1","Pazopanib","ZAP70_485_497","NR",-0.594055533
"OKAJIMA","Pazopanib","K2C8_425_437","NR",0.016257286
"KATO III","Pazopanib","PECA1_706_718","R",-0.71472764
"NUGC-3","Pazopanib","EPHA2_765_777","NR",-0.545628309
"SNU-16","Pazopanib","PGFRB_572_584","R",-0.389054179
"HSC-59","Pazopanib","MET_1227_1239","NR",-0.345655441
"JR-st","Pazopanib","K2C8_425_437","NR",-0.069515049
"HSC-39","Pazopanib","AMPE_5_17","R",-0.019957185
"HSC-39","Pazopanib","PAXI_24_36","R",-0.342176795
"HSC-58","Pazopanib","PGFRB_709_721","NR",-0.149614096
"SNU-16","Pazopanib","ODBA_340_352","R",-0.187795401
"OCUM-1","Pazopanib","PRGR_786_798","NR",-0.184155464
"MKN45","Pazopanib","ACHD_383_395","NR",0.102115713
"HSC-59","Pazopanib","FER_707_719","NR",-0.267979622
"HSC-58","Pazopanib","CBL_693_705","NR",-0.332233191
"HSC-45","Pazopanib","RAF1_332_344","NR",-0.371247053
"HSC-39","Pazopanib","FGFR2_762_774","R",-0.500162959
"MKN28","Pazopanib","LAT_194_206","NR",-0.083652735
"58As1","Pazopanib","EPHA1_774_786","NR",-0.248181105
"SNU-16","Pazopanib","CDK2_8_20","R",-0.526518583
"HSC-44PE","Pazopanib","PDPK1_369_381","NR",-0.382924438
"HSC-43","Pazopanib","CD3Z_146_158","R",-0.008298576
"KATO III","Pazopanib","MK12_178_190","R",-0.242651582
"KATO III","Pazopanib","VGFR2_944_956","R",-0.51644218
"MKN45","Pazopanib","MBP_259_271","NR",0.089707218
"HSC-40A","Pazopanib","PDPK1_2_14","R",-0.538153052
"NUGC-3","Pazopanib","ODBA_340_352","NR",-0.363742948
"NCI-N87","Pazopanib","PGFRB_768_780","NR",-0.187375382
"HSC-39","Pazopanib","EPHA2_765_777","R",-0.559120417
"NUGC-3","Pazopanib","MK01_180_192","NR",-0.10596323
"OCUM-1","Pazopanib","EGFR_1103_1115","NR",-0.151545286
"MKN1","Pazopanib","VGFR1_1162_1174","NR",0.110434055
"OCUM-1","Pazopanib","MK10_216_228","NR",-0.097658396
"NUGC-4","Pazopanib","EPHB1_771_783","NR",-0.531818628
"JR-st","Pazopanib","EPHB1_921_933","NR",0.018971682
"MKN1","Pazopanib","CDK7_157_169","NR",0.193589211
"MKN74","Pazopanib","CTNB1_79_91","NR",-0.430322528
"KATO III","Pazopanib","DCX_109_121","R",-0.480191469
"OKAJIMA","Pazopanib","CDK2_8_20","NR",0.164560869
"HSC-40A","Pazopanib","RET_1022_1034","R",-0.372023344
"NUGC-3","Pazopanib","NCF1_313_325","NR",-0.103017092
"NUGC-4","Pazopanib","EPHA1_774_786","NR",-0.448649526
"MKN28","Pazopanib","FGFR1_761_773","NR",-0.071913481
"HSC-59","Pazopanib","ACHD_383_395","NR",-0.330615401
"HSC-39","Pazopanib","FGFR1_761_773","R",-0.368370533
"IM95","Pazopanib","LAT_249_261","NR",-0.59961915
"MKN45","Pazopanib","ANXA1_14_26","NR",0.057039421
"44As3","Pazopanib","FES_706_718","NR",-0.75284338
"NUGC-4","Pazopanib","RON_1353_1365","NR",-0.168143332
"44As3","Pazopanib","RASA1_453_465","NR",-0.441344619
"MKN28","Pazopanib","DCX_109_121","NR",0.030594349
"NUGC-3","Pazopanib","AMPE_5_17","NR",0.077977538
"KATO III","Pazopanib","ENOG_37_49","R",-0.702135324
"MKN74","Pazopanib","EPHA1_774_786","NR",-0.456764936
"HSC-58","Pazopanib","LCK_387_399","NR",-0.30338788
"58As1","Pazopanib","MK14_173_185","NR",-0.16555047
"44As3","Pazopanib","EPHA1_774_786","NR",-0.618488789
"HSC-44PE","Pazopanib","NCF1_313_325","NR",0.108149529
"HSC-43","Pazopanib","MK10_216_228","R",-0.531447411
"OKAJIMA","Pazopanib","PDPK1_2_14","NR",-0.077895559
"HSC-59","Pazopanib","MK07_211_223","NR",-0.256819129
"NUGC-3","Pazopanib","RAF1_332_344","NR",-0.371580601
